source_file,char,japanese_name,literal_meaning,current_keyword,proposed_keyword,status,rationale_citation
component_keyword.json,兀,,high & level; lofty; bald,towering,towering,keep,"crossref: no semantic/phonetic role recorded (isolated char, not in local radical CSVs). Web: Wiktionary/kanji dicts give 兀 = ""high & level, lofty, bald, dangerous"" (e.g. 突兀 = ""towering, precipitous""). ""towering"" is an accurate synonym of ""lofty"". | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,壬,,ninth of the ten Heavenly Stems,9th in rank,ninth heavenly stem,change,"crossref: 壬 is phonetic-only (任,妊; on-yomi にん) — not a semantic radical, so no compound-borrowed meaning risk here, but current gloss is vague. Web: Wiktionary 壬 = ""the ninth of the ten heavenly stems"" (https://en.m.wiktionary.org/wiki/壬). ""9th in rank"" is an imprecise paraphrase; ""ninth heavenly stem"" is the sourced dictionary sense. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,宀,うかんむり (ukanmuri),"roof, house",roof with chimney,"roof, house",change,"raw-data/sylhare/kanji-radicals.csv row 40 (宀): Meaning=""roof, house"". ""chimney"" is not attested anywhere in sources — appears to be an invented embellishment. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,刂,りっとう (rittou),"knife, sword",knife,standing knife / knife (right),change,"raw-data/sylhare/ka_data.csv (rad ⺉ rittou): rad_meaning=""knife, sword"". Matches current keyword exactly. | Audit fix: りっとう literally = 立刀 (立=standing, 刀=knife); bare 'knife' dropped the 'standing' descriptor. Restored as 'standing knife', with plain 'knife (right)' kept as an alternative reading."
component_keyword.json,氺,したみず (shitamizu),"under water / lower water (下水: 下=under, 水=water)",water splash,under water,change,"raw-data/sylhare/ka_data.csv row (氺, rad_order 152): rad_name_ja=したみず (shitamizu), rad_meaning=""water"". したみず's own kanji spelling is 下水 (下=under/below, 水=water) = ""under water"". ""splash"" is unsourced. User-supplied correction 2026-09-03: use the direct literal translation ""under water"" rather than a position-bracket paraphrase. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,彑,,snout; pig's head,crooked pig snout,snout,change,"crossref: 彑 functions as a genuine semantic radical (彗,彙). Unicode official character block name for this radical is ""KANGXI RADICAL SNOUT"" (U+2F39); Wikipedia ""Radical 58"" and Wiktionary give ""snout""/""pig's head"" as the standard English name. ""crooked"" is an invented descriptor not found in any source. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,卜,ぼく (boku),"oracle, divination",augury,augury,keep,"raw-data/sylhare/kanji-radicals.csv row 25 (卜): Meaning=""oracle, divination"". ""augury"" is an accurate English synonym for divination/oracle-taking. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,辶,しんにょう (shinnyou),"road, walk, to advance",walking on a road,walking on a road,keep,"raw-data/sylhare/ka_data.csv (rad ⻌ shinnyou): rad_meaning=""road, walk, to advance"". Current keyword is an accurate paraphrase. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,隶,れいづくり (reizukuri),"to capture, servant",servant,to capture / servant,change,"raw-data/sylhare/kanji-radicals.csv row 171 (隶): Meaning=""to capture, servant"". ""servant"" is a correct (partial) rendering of the sourced meaning. crossref: semantic radical for 隷 only, consistent. | Audit fix: literal_meaning is 'to capture, servant'; the row's own rationale admits 'servant' is only a 'correct (partial) rendering'. Added 'to capture' back as an alternative so both sourced senses are represented."
component_keyword.json,豸,むじなへん (mujinahen),"badger, beast",badger,badger,keep,"raw-data/sylhare/kanji-radicals.csv row 153 (豸): Meaning=""badger, beast"". Matches current keyword. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
